t_id;c_ticker;c_name;industry;mcap_m1;mcap_log;mcap_group;large_cap;mid_cap;small_cap;ebitda_margin;debt_ebitda;cash_assets_ratio;pb_ratio;announced_date;target_public;cash_payment_pct;deal_mcap;cross_border;car_1;car_2;car_1_beta_adjusted;car_2_beta_adjusted
IQTR1873674665;TWIN;Twin Disc, Incorporated (NasdaqGS:TWIN);Industrials;220,444875;5,395647664;mid;0;1;0;10,6514;44,36042245;7,370875557;77,29754725;2024-03-06 00:00:00;0;100;11,56751773;1;-2,958548724;-4,909745768;-2,134780735;-3,536799119
IQTR1873901825;BALCO;Balco Group AB (OM:BALCO);Industrials;90,38691158;4,504099474;small;0;0;1;8,9203;222,9497259;0,221354363;71,73217136;2024-03-06 00:00:00;0;74,19;6,505366648;1;-2,946766356;-4,9737912;-1,600904069;-2,730687389
IQTR1873922207;ALCA;Alcadon Group AB  (OM:ALCA);Information Technology;88,07695476;4,478210918;small;0;0;1;6,9557;319,5612566;3,953447541;56,02895359;2024-03-06 00:00:00;0;75;16,08820382;1;-3,012539294;-5,014692211;-2,250143316;-3,744032249
IQTR1873926094;RICHTER;Gedeon Richter PLC (BUSE:RICHTER);Health Care;4844,474042;8,485593962;large;1;0;0;33,1264;-0,16271744;5,913311387;123,1531775;2024-03-06 00:00:00;0;100;4,145135226;1;-2,972784161;-4,950117199;-0,681989616;-1,132126292
IQTR1873936264;NBS;Nationwide Building Society (LSE:NBS);Financials;1546,614348;7,343823529;mid;0;1;0;;;10,56853994;0,461750102;2024-03-07 00:00:00;0;100;235,9709131;0;-0,052628058;-0,090468617;-0,020690304;-0,037239028
IQTR1873942063;MTLC;Metalac a.d., Gornji Milanovac (BELEX:MTLC);Health Care;25,85763074;3,25260575;small;0;0;1;13,7136;454,1812888;1,408240078;45,59983962;2024-03-06 00:00:00;0;100;0,262978463;0;-3,150284145;-5,016621747;1,180839177;2,201917122
IQTR1874385145;SPIE;SPIE SA (ENXTPA:SPIE);Industrials;6036,149206;8,705521539;large;1;0;0;7,7073;198,1192059;13,27737695;59,67906488;2024-03-11 00:00:00;0;100;3,687781604;1;-2,961388288;-4,956918645;-1,73725345;-2,916693914
IQTR1874416317;CXT;Crane NXT, Co. (NYSE:CXT);Information Technology;3404,194355;8,132763584;large;1;0;0;27,6288;121,6181061;10,66967221;159,866364;2024-03-11 00:00:00;0;100;7,931392038;1;-2,997455872;-4,995017409;-3,790065276;-6,316033082
IQTR1874433737;2300;Saudi Paper Manufacturing Company (SASE:2300);Consumer Discretionary;17,48264076;2,861208432;small;0;0;1;7,9754;-238,363031;28,84445608;28,29402104;2024-03-05 00:00:00;0;100;457,5395736;1;-1,180432507;-1,938709237;-0,085988233;-0,114635447
IQTR1874471411;A2A;A2A S.p.A. (BIT:A2A);Utilities;6004,494931;8,700263623;large;1;0;0;12,0915;266,9304697;8,6658155;28,89810919;2024-03-09 00:00:00;0;100;21,87511215;0;-2,999137465;-5,04509029;-2,830541341;-4,764096751
IQTR1874490135;AMS;Amadeus IT Group, S.A. (BME:AMS);Health Care;17,32875825;2,852367448;small;0;0;1;35,109;26,60611727;28,4248993;35,98014669;2024-03-11 00:00:00;0;100;712,5726969;0;-3,056124457;-5,050652258;-0,406369925;-0,634394705
IQTR1874490261;AQ;AQ Group AB  (OM:AQ);Industrials;969,3509101;6,876626683;mid;0;1;0;11,173;29,04191458;7,147650337;163,5646297;2024-03-11 00:00:00;0;100;0,4033627;0;-3,016124636;-5,024057034;-2,255862338;-3,756953203
IQTR1874503796;DOM;Domino's Pizza Group plc (LSE:DOM);Consumer Discretionary;1874,983667;7,536355228;mid;0;1;0;17,358;392,4576365;10,16585301;287,221886;2024-03-12 00:00:00;0;61;5,351513282;1;-0,475281129;-0,769386526;-0,53199648;-0,863912113
IQTR1874554757;TDY;Teledyne Technologies Incorporated (NYSE:TDY);Information Technology;20149,816;9,910950436;large;1;0;0;24,1895;201,7385563;4,462448117;138,6973754;2024-03-12 00:00:00;0;100;0,225163346;1;-0,490893861;-0,824207285;-0,505535653;-0,84861027
IQTR1874556536;MT;ArcelorMittal S.A. (ENXTAM:MT);Materials;21383,78763;9,970388326;large;1;0;0;8,1713;53,68345582;8,183821885;22,76881462;2024-03-12 00:00:00;1;100;4,876918991;1;-0,443754779;-0,780243533;-0,771496783;-1,326480206
IQTR1874596291;CPI;Capitec Bank Holdings Limited (JSE:CPI);Industrials;316,9169992;5,758639907;mid;0;1;0;11,0211;182,7852988;7,778556369;12,45395924;2024-03-12 00:00:00;0;100;9,059154312;1;-0,643027039;-0,966249815;-0,508166165;-0,741481691
IQTR1874607392;AMS;Advanced Medical Solutions Group plc (AIM:AMS);Health Care;16,5216654;2,804672574;small;0;0;1;35,109;26,60611727;28,4248993;34,30435904;2024-03-13 00:00:00;0;100;936,7094433;1;0,537374204;0,854632814;0,053098881;0,047507274
IQTR1874630880;RRR;Red Rock Resources Plc (AIM:RRR);Consumer Discretionary;3394,847726;8,130014186;large;1;0;0;41,9468;446,0358131;3,47921564;85,84745034;2024-03-13 00:00:00;0;39,79;0,051843268;0;0,533156205;0,877261531;0,820042315;1,355405047
IQTR1874686769;CDA;Compagnie des Alpes SA (ENXTPA:CDA);Information Technology;1241,547558;7,124113911;mid;0;1;0;21,6944;118,0674545;3,186417241;245,9874686;2024-03-13 00:00:00;0;100;12,31446987;0;0,565098672;0,921694482;0,718399364;1,177195635
IQTR1874719713;VMT;Vmoto Limited (ASX:VMT);Consumer Discretionary;41,54770604;3,72684231;small;0;0;1;10,6775;-503,4349691;44,15004868;63,28112878;2024-03-14 00:00:00;0;;1,321372592;1;1,020183978;1,615479613;1,003236111;1,587233167
